,Total Equity,,,,,,,,,,,,
A,0.3387,0.2279,0.2066,0.1915,0.1847,0.1653,0.156,0.147,0.1396,0.1481,0.1398,0.1387,0.1344
K,0.1909,0.2955,0.2051,0.1889,0.1848,0.1528,0.1407,0.1338,0.1288,0.1244,0.1238,0.1199,0.1172
Q,0.1737,0.1683,0.2482,0.194,0.1816,0.157,0.1379,0.1299,0.1231,0.1172,0.12,0.1107,0.1045
J,0.1602,0.1605,0.1525,0.2065,0.1787,0.1609,0.142,0.129,0.1163,0.121,0.1058,0.1066,0.1033
T,0.1446,0.1419,0.1436,0.1438,0.1898,0.1699,0.1472,0.139,0.119,0.1073,0.1102,0.0989,0.097
9,0.1287,0.1244,0.1163,0.1248,0.1316,0.1732,0.1448,0.1356,0.1252,0.1132,0.1015,0.0983,0.0911
8,0.1182,0.1081,0.1087,0.107,0.1105,0.1051,0.1629,0.1397,0.1267,0.1228,0.1096,0.0951,0.0952
7,0.1158,0.0985,0.0892,0.0932,0.0965,0.1022,0.1026,0.1487,0.1347,0.1258,0.117,0.0971,0.0902
6,0.1092,0.0945,0.0873,0.0766,0.0818,0.0887,0.0995,0.1011,0.1403,0.1292,0.1213,0.111,0.0981
5,0.1126,0.0939,0.0852,0.0801,0.0691,0.0714,0.0818,0.0858,0.0915,0.1296,0.1273,0.1198,0.1043
4,0.1127,0.0942,0.0804,0.0755,0.0753,0.0653,0.0689,0.0761,0.085,0.0848,0.1278,0.1179,0.1044
3,0.107,0.0838,0.079,0.0742,0.0665,0.0636,0.0573,0.0636,0.0727,0.0795,0.0741,0.1279,0.0961
2,0.098,0.0842,0.0753,0.0707,0.0688,0.0597,0.0558,0.0501,0.0621,0.0738,0.0656,0.0651,0.1294
,,,,,,,,,,,,,
,Total Equity Confidential Interval of 95% (2*Sigma),,,,,,,,,,,,
A,0.0062,0.0119,0.0129,0.0139,0.0143,0.0149,0.0205,0.0204,0.021,0.0204,0.0204,0.0204,0.0206
K,0.0129,0.0118,0.0131,0.0141,0.0143,0.0208,0.021,0.0207,0.0205,0.0204,0.0204,0.0202,0.0202
Q,0.0138,0.0215,0.0126,0.0133,0.0143,0.0209,0.0205,0.0207,0.0204,0.0202,0.0203,0.0194,0.0192
J,0.021,0.0207,0.0207,0.0134,0.0136,0.0207,0.0211,0.0206,0.0202,0.0203,0.0193,0.0192,0.0194
T,0.021,0.021,0.0211,0.0211,0.0135,0.0137,0.021,0.0207,0.0203,0.0194,0.0194,0.0196,0.0196
9,0.0206,0.0202,0.0202,0.0204,0.0207,0.0217,0.0211,0.0206,0.0203,0.0194,0.0193,0.0194,0.0193
8,0.0202,0.0194,0.0193,0.0193,0.0193,0.0193,0.0214,0.0208,0.0207,0.0203,0.0194,0.0196,0.0195
7,0.0193,0.0196,0.0199,0.0196,0.0196,0.0193,0.0194,0.0209,0.0207,0.0203,0.0211,0.0195,0.0193
6,0.02,0.0196,0.0199,0.0199,0.02,0.0199,0.0196,0.0194,0.0209,0.0205,0.0203,0.0194,0.0194
5,0.0194,0.0195,0.02,0.02,0.0197,0.0198,0.0202,0.0201,0.0197,0.0204,0.0207,0.0203,0.0192
4,0.0193,0.0195,0.0201,0.0198,0.0197,0.0198,0.0198,0.0201,0.0202,0.0201,0.0204,0.0204,0.0192
3,0.0194,0.0202,0.02,0.0199,0.0199,0.0183,0.0199,0.0185,0.0198,0.02,0.0202,0.0204,0.0194
2,0.0195,0.0201,0.0201,0.0198,0.0198,0.0199,0.0199,0.0199,0.0183,0.0201,0.0185,0.0181,0.0204
,,,,,,,,,,,,,
,Total Equity Over Average Of Players,,,,,,,,,,,,
A,204.84%,105.08%,85.98%,72.34%,66.19%,48.74%,40.44%,32.26%,25.64%,33.27%,25.80%,24.84%,20.99%
K,71.78%,165.91%,84.57%,70.01%,66.30%,37.50%,26.66%,20.39%,15.92%,11.94%,11.43%,7.91%,5.44%
Q,56.36%,51.49%,123.35%,74.61%,63.47%,41.28%,24.07%,16.91%,10.81%,5.52%,7.96%,-0.35%,-5.96%
J,44.21%,44.47%,37.26%,85.84%,60.80%,44.78%,27.77%,16.09%,4.71%,8.88%,-4.78%,-4.04%,-7.02%
T,30.11%,27.73%,29.26%,29.40%,70.80%,52.89%,32.46%,25.13%,7.07%,-3.40%,-0.83%,-10.96%,-12.71%
9,15.81%,11.92%,4.65%,12.36%,18.45%,55.92%,30.32%,22.00%,12.65%,1.91%,-8.61%,-11.56%,-17.98%
8,6.37%,-2.68%,-2.17%,-3.69%,-0.53%,-5.41%,46.58%,25.77%,14.00%,10.48%,-1.40%,-14.39%,-14.31%
7,4.18%,-11.31%,-19.75%,-16.08%,-13.11%,-8.04%,-7.63%,33.79%,21.26%,13.23%,5.27%,-12.64%,-18.83%
6,-1.76%,-14.97%,-21.45%,-31.05%,-26.34%,-20.14%,-10.41%,-9.00%,26.28%,16.29%,9.20%,-0.09%,-11.74%
5,1.31%,-15.49%,-23.35%,-27.92%,-37.85%,-35.71%,-26.37%,-22.78%,-17.67%,16.62%,14.61%,7.86%,-6.13%
4,1.44%,-15.20%,-27.62%,-32.06%,-32.19%,-41.27%,-38.02%,-31.48%,-23.48%,-23.64%,15.02%,6.14%,-6.04%
3,-3.71%,-24.56%,-28.92%,-33.19%,-40.19%,-42.75%,-48.46%,-42.79%,-34.57%,-28.49%,-33.34%,15.08%,-13.47%
2,-11.81%,-24.23%,-32.21%,-36.41%,-38.10%,-46.26%,-49.77%,-54.95%,-44.09%,-33.55%,-40.96%,-41.43%,16.48%
,,,,,,,,,,,,,
,Percentage Map,,,,,,,,,,,,
A,99.55%,98.34%,98.04%,96.68%,94.42%,90.95%,87.78%,85.22%,79.34%,85.82%,79.94%,78.73%,77.53%
K,95.78%,99.10%,97.29%,95.02%,94.72%,87.48%,80.69%,77.22%,74.21%,69.98%,68.78%,66.97%,64.56%
Q,92.91%,91.25%,98.64%,96.98%,94.12%,88.08%,78.43%,76.02%,68.48%,64.86%,67.27%,59.43%,51.28%
J,88.39%,89.29%,86.58%,97.59%,93.82%,90.20%,81.90%,74.51%,63.95%,67.57%,52.49%,52.79%,50.38%
T,84.01%,81.00%,82.20%,83.11%,95.32%,92.16%,85.52%,79.03%,66.37%,54.90%,58.22%,46.15%,43.14%
9,73.30%,69.08%,63.05%,70.29%,76.32%,92.46%,84.92%,78.13%,71.19%,61.84%,48.27%,44.95%,36.50%
8,65.46%,55.20%,56.11%,54.00%,58.52%,51.58%,90.50%,79.64%,71.79%,68.17%,57.92%,41.33%,41.63%
7,62.14%,45.25%,35.29%,37.71%,42.23%,48.57%,49.47%,86.12%,77.83%,71.49%,64.25%,43.44%,36.20%
6,57.01%,40.42%,33.48%,21.72%,27.15%,34.39%,46.46%,47.36%,80.24%,74.81%,67.87%,59.73%,44.65%
5,60.03%,38.61%,31.67%,24.43%,11.76%,13.57%,26.24%,32.58%,36.80%,75.57%,72.10%,66.67%,50.68%
4,60.94%,39.52%,25.34%,19.91%,19.00%,7.24%,10.86%,20.81%,30.77%,29.86%,72.40%,65.16%,50.98%
3,53.09%,28.05%,22.62%,17.19%,9.05%,5.43%,1.81%,4.52%,14.48%,23.53%,16.29%,72.85%,41.93%
2,43.74%,28.96%,18.10%,12.67%,9.95%,2.71%,0.90%,0.00%,3.62%,15.38%,8.14%,6.33%,75.11    %
